"generations","felling","ID","nsource1","prima1","prop1","nsource2A","prima2A","prop2A","FreqA","deadA","nsource2B","prima2B","prop2B","FreqB","deadB","nsource2C","prima2C","prop2C","FreqC","deadC"
2,0,1614,36,3.87,66,11,3.87,66,1,8.4,11,3.87,66,0,8.4,11,3.87,66,0,8.4
3,0,1614,36,3.87,66,11,3.87,66,1,8.4,11,3.87,66,0,8.4,11,3.87,66,0,8.4
2,10,1614,36,3.87,66,11,3.87,66,1,7.5,11,3.87,66,0,7.5,11,3.87,66,0,7.5
3,10,1614,36,3.87,66,11,3.87,66,1,7.5,11,3.87,66,0,7.5,11,3.87,66,0,7.5
2,20,1614,36,3.87,66,11,3.87,66,1,7.4,11,3.87,66,0,7.4,11,3.87,66,0,7.4
3,20,1614,36,3.87,66,11,3.87,66,1,7.4,11,3.87,66,0,7.4,11,3.87,66,0,7.4
2,30,1614,36,3.87,66,11,3.87,66,1,6.2,11,3.87,66,0,6.2,11,3.87,66,0,6.2
3,30,1614,36,3.87,66,11,3.87,66,1,6.2,11,3.87,66,0,6.2,11,3.87,66,0,6.2
2,40,1614,36,3.87,66,11,3.87,66,1,6.8,11,3.87,66,0,6.8,11,3.87,66,0,6.8
3,40,1614,36,3.87,66,11,3.87,66,1,6.8,11,3.87,66,0,6.8,11,3.87,66,0,6.8
2,50,1614,36,3.87,66,11,3.87,66,1,6.1,11,3.87,66,0,6.1,11,3.87,66,0,6.1
3,50,1614,36,3.87,66,11,3.87,66,1,6.1,11,3.87,66,0,6.1,11,3.87,66,0,6.1
2,60,1614,36,3.87,66,11,3.87,66,1,6.4,11,3.87,66,0,6.4,11,3.87,66,0,6.4
3,60,1614,36,3.87,66,11,3.87,66,1,6.4,11,3.87,66,0,6.4,11,3.87,66,0,6.4
2,70,1614,36,3.87,66,11,3.87,66,1,6.4,11,3.87,66,0,6.4,11,3.87,66,0,6.4
3,70,1614,36,3.87,66,11,3.87,66,1,6.4,11,3.87,66,0,6.4,11,3.87,66,0,6.4
